report,gold_idx,out_idx,choice_p,any_p,choice_confidence,level,gold_pot,out_pot,gold_typ,out_typ,gold_quote,out_quote
new_rep_1,,0,,,,overclaim,,Painted beaker,,,,een stuk van een geverfde beker bestrooid met kleikorreltjes
new_rep_1,,1,,,,overclaim,,Gauloise amphora,,,,een tweede herkenbaar fragment is afkomstig van een wijnamfoor Gauloise
new_rep_1,,2,,,,overclaim,,Red coarse ware,,,,Twee rode ruwwandige fragmenten
new_rep_1,,3,,,,overclaim,,White fine ware,,,,een sterk verweerd wit gladwandig fragment
new_rep_1,,4,,,,overclaim,,Dolium,,,,een rand van een groot bolrond voorraadvat (dolium)
new_rep_1,,5,,,,overclaim,,Olive oil amphora,,,,een fragment van een olijfolieamfoor
new_rep_1,,7,,,,overclaim,,Mortarium,,,,rand van een wrijfschaal met verticale rand die vanaf 160 is te dateren
new_rep_1,,9,,,,overclaim,,Mortarium,,,,rand van een wrijfschaal met horizontale rand uit de 2e eeuw of later
new_rep_2,0,0,1.000,0.970,0.980,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 29,Dragendorff 29,"--/89-0-0/8128, Drag. 29","22.6.1 Decorations South Gaul --/89-0-0/8128, Drag. 29 (Fig. 22.6)."
new_rep_2,1,1,1.000,0.980,0.970,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 29,Dragendorff 29,"304-1/20-5-8, Drag. 29","304-1/20-5-8, Drag. 29 (Fig. 22.6)."
new_rep_2,2,2,1.000,0.970,0.980,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 29,Dragendorff 29,"399-2/1953-2.8, Drag. 29","399-2/1953-2.8, Drag. 29 (Fig. 22.6)."
new_rep_2,3,45,1.000,0.980,0.990,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"--/95-1-19/10813, Drag","Scale 1:2, position of decoration (o^en schematic) in relation to vessel profile 1:3.
497
--/95-1-19/10813, Drag. 37 (Fi"
new_rep_2,22,46,1.000,0.980,0.980,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"--/15-0-0/2098, Drag. 37","Basal wreath of S-shaped ornaments HZ-II O113 between plain borders, rosee HZ-II O98, spiral
ornament HZ-II O116. Ident"
new_rep_2,32,47,1.000,0.980,1.000,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"--/27-3-17/5260, Drag. 37","East Gaul, AD 100-270.
--/27-3-17/5260, Drag. 37.
--/94-3-5/10503, Drag. 37.
--/1895-12.44/13070, Drag. 37.
These fragme"
new_rep_2,33,3,1.000,0.980,0.990,review,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"--/94-3-5/10503, Drag 37","--/1895-12.43/13072, Drag. 37 (Fig. 22.6)."
new_rep_2,34,4,1.000,0.980,0.990,review,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"--/1895-12.44/13070, Drag 37","--/13-3-15/1588, Drag. 37 (Fig. 22.6)."
new_rep_2,35,30,1.000,0.970,1.000,same,Terra sigillata,Terra sigillata cup,Dragendorff 27g,Dragendorff 27g,"702-19/7-0-11, Drag. 27g","702-19/7-0-11, Drag. 27g (Fig. 22.10)."
new_rep_2,37,32,1.000,0.970,1.000,same,Terra sigillata plate,Terra sigillata plate,Dragendorff 18,Dragendorff 18,"--/1953-2.5/13052, Drag. 18","--/1953-2.5/13052, Drag. 18 (Fig. 22.10)."
new_rep_2,39,34,1.000,0.970,0.990,same,Terra sigillata cup,Terra sigillata cup,Dragendorff 27,Dragendorff 27,"--/21-3-5/3776, Drag. 27","--/21-3-5/3776, Drag. 27 (Fig. 22.10)."
new_rep_2,40,48,1.000,0.970,1.000,same,Terra sigillata plate,Terra sigillata plate,Dragendorff 18r,Dragendorff 18R,"--/1932-11.3/13043, Drag. 18R?","South Gaul, rst century-beginning second century AD.
[---]ND or [---]NT ?
--/1932-11.3/13043, Drag. 18R? (Fig. 22.10)."
new_rep_2,45,37,1.000,0.970,0.990,same,Terra sigillata cup,Terra sigillata cup,Dragendorff 27,Dragendorff 27,"--/95-2-9/10948, cup, probably Drag. 27","--/95-2-9/10948, cup, probably Drag. 27 (Fig. 22.10)."
new_rep_2,49,50,1.000,0.970,0.990,same,Terra sigillata plate,Terra sigillata plate,Dragendorff 31,Dragendorff 31,"317-16/13-3-38, Drag. 31","AD 150-170.
Unidentied
317-16/13-3-38, Drag. 31.
This stamp can possibly be read as V[---] or [---]M?
East Gaulish, AD "
new_rep_2,51,51,1.000,0.970,0.990,same,Terra sigillata plate,Terra sigillata plate,Dragendorff 18/31,Dragendorff 18/31,"69-2-8/7253, Drag. 18/31","East Gaul, AD 100-270.
505
[---] I I [---] ?
69-2-8/7253, Drag. 18/31 (Fig 22.11)."
new_rep_2,5,5,0.990,0.960,0.950,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"--/13-3-15/1588, Drag. 37","--/13-3-9/1571, Drag. 37 (Fig. 22.6)."
new_rep_2,6,6,0.990,0.960,0.960,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"--/13-3-9/1571, Drag. 37","--/95-1-18/10762, Drag. 37 (Fig. 22.6)."
new_rep_2,7,7,0.990,0.960,0.970,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"--/95-1-18/10762, Drag","--/0-0-0/12972, Drag. 37 (Fig. 22.6)."
new_rep_2,8,8,0.990,0.960,0.950,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"--/0-0-0/12972, Drag. 37","--/27-4-7/5351, Drag. 37 (Fig. 22.6)."
new_rep_2,10,9,0.990,0.970,0.980,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"302-6/100-1-6, Drag. 37","302-6/100-1-6, Drag. 37 (Fig. 22.7)."
new_rep_2,52,43,0.990,0.950,0.980,same,Terra sigillata plate,Terra sigillata plate,Dragendorff 18,Dragendorff 18,"27-2-27/5067, Drag. 18","27-2-27/5067, Drag. 18 (Fig. 22.11)."
new_rep_2,9,10,0.980,0.960,0.920,review,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"--/27-4-7/5351, Drag. 37","--/95-1-18+95-1-60, Drag. 37 (Fig. 22.7)."
new_rep_2,4,11,0.980,0.900,0.950,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"“--/1895-12.43/13072, Drag","--/27-2-24, Drag. 37 (Fig. 22.7)."
new_rep_2,20,19,0.980,0.970,0.950,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"744-9/100-1-10, Drag. 37","744-9/100-1-10, Drag. 37 (not illustrated)."
new_rep_2,27,26,0.980,0.960,0.950,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"413-6/94-4-1/10531, Drag. 37","413-6/94-4-1/10531, Drag. 37 (Fig. 22.8)."
new_rep_2,36,31,0.980,0.860,0.970,same,Terra sigillata dish,Terra sigillata plate,,Dragendorff 18/31,"--/96-2-1/8220, dish","--/96-2-1/8220, dish (Fig. 22.10)."
new_rep_2,44,49,0.980,0.970,0.970,same,Terra sigillata plate,Terra sigillata plate,Dragendorff 18/31,Dragendorff 18/31,"--/95-1-19/10815, dish (probably Drag. 18/31)","Lezoux, AD 140-170.
Illiterate?
--/95-1-19/10815, dish (probably Drag. 18/31)."
new_rep_2,23,22,0.970,0.950,0.920,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"334-2/107-3-62 + 737-11/68-4-25, Drag. 37","334-2/107-3-62 + 737-11/68-4-25, Drag. 37 (Fig. 22.8)."
new_rep_2,25,24,0.970,0.960,0.940,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"--/16-0-0/2706 + 16-3-5/2395, Drag. 37","--/16-0-0/2706 + 16-3-5/2395, Drag. 37 (Fig. 22.8)."
new_rep_2,29,28,0.970,0.940,0.950,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"319-8/110-2-1, Drag. 37","319-8/110-2-1, Drag. 37 (Fig. 22.9)."
new_rep_2,31,42,0.970,0.930,0.470,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"--/16-3-7/2427+2428, Drag. 37","16-3-7/2427+2428, Drag. 37 (Fig. 22.11)."
new_rep_2,24,23,0.960,0.950,0.920,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"757-17/104-3-5, Drag. 37","757-17/104-3-5, Drag. 37 (Fig. 22.8)."
new_rep_2,12,20,0.950,0.930,0.760,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"--/27-2-24, Drag. 37","--/0-0-0/10406, Drag. 37 (Fig. 22.8)."
new_rep_2,16,15,0.950,0.920,0.770,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"413-2/94-4-3/10549, Drag. 37","413-2/94-4-3/10549, Drag. 37 (Fig. 22.7)."
new_rep_2,11,21,0.950,0.950,0.690,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"--/95-1-18+95-1-60, Drag. 37","--/15-0-0/2098, Drag. 37 (Fig. 22.8)."
new_rep_2,14,13,0.950,0.790,0.940,same,Terra sigillata decorated beaker,Terra sigillata decorated bowl,Dragendorff 30,Dragendorff 30,"--/96-2-1/8224, Drag. 30","--/96-2-1/8224, Drag. 30 (Fig. 22.7)."
new_rep_2,17,16,0.940,0.950,0.830,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"744-10/100-2-3/8440, Drag. 37","744-10/100-2-3/8440, Drag. 37 (Fig. 22.7)."
new_rep_2,26,25,0.940,0.920,0.720,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"--/18-1-2/2773, Drag. 37","--/18-1-2/2773, Drag. 37 (Fig. 22.8)."
new_rep_2,43,36,0.940,0.940,0.770,same,Terra sigillata plate,Terra sigillata plate,Dragendorff 18/31,Dragendorff 18/31,"730-2/27-5-1, Drag. 18/31","730-2/27-5-1, Drag. 18/31 (Fig. 22.10)."
new_rep_2,30,29,0.920,0.910,0.790,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"--/1895-12.45/13069, Drag. 37","--/1895-12.45/13069, Drag. 37 (Fig. 22.9)."
new_rep_2,38,33,0.920,0.940,0.900,same,Terra sigillata cup,Terra sigillata cup,,Dragendorff 27,"--/1932-11.3/13041, cup","--/1932-11.3/13041, cup (Fig. 22.10)."
new_rep_2,42,35,0.920,0.940,0.660,same,Terra sigillata plate,Terra sigillata plate,Dragendorff 18/31,Dragendorff 18/31,"--/96-2-1/11698, Drag. 18/31","--/96-2-1/11698, Drag. 18/31 (Fig. 22.10)."
new_rep_2,18,17,0.900,0.920,0.640,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"--/16-2-34/2381, Drag. 37","--/16-2-34/2381, Drag. 37 (Fig. 22.7)."
new_rep_2,15,14,0.890,0.910,0.650,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"--/1953-2.5/11413, Drag. 37","--/1953-2.5/11413, Drag. 37 (Fig. 22.7)."
new_rep_2,13,12,0.880,0.920,0.620,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"--/68-2-6/6276, Drag. 37","--/68-2-6/6276, Drag. 37 (Fig. 22.7)."
new_rep_2,53,52,0.860,0.960,0.850,same,Terra sigillata plate,East Gaulish terra sigillata plate,Dragendorff 31,Ludowici SB,"742-3/95-5-8/11211, Drag. 31","South Gaul, AD 70-120.
[---]TVS (Fig. 22.11).
742-3/95-5-8/11211, Drag. 31 (Lud. Sb)
East Gaul, AD 140-270.
?
1932-11.3/"
new_rep_2,28,27,0.840,0.890,0.600,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,--/1895-12.46/13074,"--/1895-12.46/13074, Drag. 37 (Fig. 22.8)."
new_rep_2,19,18,0.800,0.910,0.540,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"--/1895-12.42/14465, Drag. 37","--/1895-12.42/14465, Drag. 37 (Fig. 22.7)."
new_rep_2,54,44,0.800,0.970,0.780,same,Terra sigillata plate,Terra sigillata plate,Dragendorff 32,Dragendorff 32,"1932-11.3/13064, Drag. 32","1932-11.3/13064, Drag. 32 (Fig. 22.11)."
new_rep_2,48,40,0.790,0.950,0.780,same,Terra sigillata plate,Terra sigillata plate,Dragendorff 18/31,Dragendorff 18/31 or Dragendorff. 31,"--/1932-11.3/13042, Drag. 18/31 or Drag. 31","--/1932-11.3/13042, Drag. 18/31 or Drag. 31 (Fig. 22.10)."
new_rep_2,46,38,0.700,0.930,0.680,same,Terra sigillata plate,Terra sigillata plate,Dragendorff 18/31,Dragendorff 18/31 or Dragendorff. 31,"319-13/110-2-1, Drag. 18/31 or Drag. 31","319-13/110-2-1, Drag. 18/31 or Drag. 31 (Fig. 22.10)."
new_rep_2,21,,,0.920,0.380,missing,Terra sigillata decorated bowl,,Dragendorff 37,,"--/0-0-0/10406, Drag. 37",
new_rep_2,41,,,0.930,0.960,missing,Terra sigillata,,Dragendorff 27g,,"--/7-1-25/197, Drag. 27g",
new_rep_2,47,,,0.930,0.470,missing,Terra sigillata plate,,Dragendorff 18/31,,"--/0-0-0/10402, Drag. 18/31 or Drag. 31",
new_rep_2,50,,,0.950,0.510,missing,Terra sigillata plate,,Dragendorff 18/31,,"812-2/27-3-7/5184, Drag. 18/31",
new_rep_2,,39,,,,overclaim,,Terra sigillata plate,,Dragendorff 18/31 or Dragendorff. 31,,"--/0-0-0/10402, Drag. 18/31 or Drag. 31 (Fig. 22.10)."
new_rep_2,,41,,,,overclaim,,Terra sigillata plate,,Dragendorff 18/31,,"812-2/27-3-7/5184, Drag. 18/31 (Fig. 22.11)."
new_rep_3,0,0,1.000,0.980,1.000,same,Terra sigillata,Terra sigillata,,,"Among the pottery, terra sigillata dates from the 2nd century","Among the pottery, terra sigillata dates from the 2nd century"
new_rep_3,1,1,1.000,0.990,1.000,same,Painted cup,Painted cup,,,painted cups from the 2nd and 3rd centuries,painted cups from the 2nd and 3rd centuries
new_rep_3,2,2,1.000,0.970,1.000,same,Amphorae,Amphora,,,amphorae (of which one comes from Campania),amphorae (of which one comes from Campania) date to the 1st century
new_rep_3,3,3,1.000,0.990,1.000,same,Dolia,Dolia,,,"Other pottery derives from dolia, mortaria and jugs","Other pottery derives from dolia, mortaria and jugs"
new_rep_3,4,4,1.000,0.960,1.000,same,mortaria,Mortarium,,,"Other pottery derives from dolia, mortaria and jugs","Other pottery derives from dolia, mortaria and jugs"
new_rep_3,5,5,0.990,0.950,0.990,same,jugs,Jug,,,"Other pottery derives from dolia, mortaria and jugs","Other pottery derives from dolia, mortaria and jugs"
new_rep_4,0,2,1.000,0.980,1.000,same,Argonnian terra sigillata bowl,Argonnian terra sigillata bowl,Chenet 320,Chenet 320,"Two fragments are Argonne Ware decorated with roller-stamps, these bowls of type Chenet 320 date to A.D.320-410.","Two fragments are Argonne Ware decorated with roller-stamps, these bowls of type Chenet 320"
new_rep_4,2,1,1.000,0.980,1.000,same,Terra sigillata cup,Terra sigillata cup,Dragendorff 33,Dragendorff 33,"The terra sigillata comprises cups bowls Drag.37,Drag.33,",The terra sigillata comprises cups bowls Drag. 33
new_rep_4,3,0,1.000,0.980,1.000,same,Terra sigillata decorated bowl,Terra sigillata decorated bowl,Dragendorff 37,Dragendorff 37,"The terra sigillata comprises cups bowls Drag. 37,",The terra sigillata comprises cups bowls Drag. 37
new_rep_4,1,,,0.110,0.940,missing,Terra sigillata plate,,Dragendorff 18/31,,plates Drag.18/31,
new_rep_4,4,,,0.100,0.980,missing,Terra sigillata mortarium,,Dragendorff 45,,band mortaria Drag. 45,
new_rep_5,4,0,0.860,0.650,0.810,same,Pottery,Roman pottery,,,24 aardewerk Romeinse tijd,aardewerk Romeinse tijd
new_rep_5,7,1,0.550,0.530,0.390,same,Painted ware,Painted pottery,,,29 aardewerk Romeinse tijd,geverfd aardewerk
new_rep_5,0,,,0.640,0.730,missing,Pottery,,,,7 aardewerk Romeinse tijd 1 bodemfragment,
new_rep_5,1,,,0.460,0.450,missing,Pottery,,,,12 aardewerk Romeinse tijd t/m Volle Middeleeuwen,
new_rep_5,2,,,0.420,0.390,missing,Pottery,,,,20 aardewerk Romeinse tijd t/m Volle Middeleeuwen,
new_rep_5,3,,,0.680,0.790,missing,Pottery,,,,21 aardewerk Romeinse tijd,
new_rep_5,5,,,0.630,0.810,missing,Pottery,,,,25 aardewerk Romeinse tijd,
new_rep_5,6,,,0.390,0.290,missing,Pottery,,,,26 aardewerk Romeinse tijd t/m Volle Middeleeuwen,
new_rep_5,,2,,,,overclaim,,Pottery,,,,aardewerk
